,Name,Active,Summary
155,Vadim Ershov,   Active for 4 years   (1992-1995) in Russia," Vadim Ershov a Russian serial killer known as the Krasnoyarsk Beast, The Krasnoyarsk Chikatilo and The Maniac with a Diary. Ershov committed nineteen murders and eight attempted murders between 1992 and 1995, in or near Krasnoyarsk, Russia. "
156,Kenneth Erskine,   Active for 1 year   (1986) in United Kingdom," Kenneth Erskine a British serial killer known as The Stockwell Strangler and the heatwave killer. Erskine, a burglar who raped and strangled at least seven elderly men and women after breaking into their home. Erskine told police he was haunted by a whispering woman's voice, which came out of walls and doors which gave him dizzy spells. Erskine was sentenced to life in prison in 1988. In 2009 the murder convictions were reduced to manslaughter. Erskine is being held at a high-security psychiatric hospital, Broadmoor Hospital at Crowthorne in Berkshire, England. "
157,Scott Erskine,   Active for 5 years   (1989-1993) in United States," Scott Erskine (Scott Thomas Erskine) an American serial killer and rapist. Erskine was convicted of raping and murdering a woman in 1989 and the torture-murders of two boys in 1993. Erskine would kidnap, rape and murder his victims. He bound, gagged, strangled and bit the genitals of at least one of his victims. Erskine's DNA was found on two cigarette butts found near one victim and in the mouth of another victim. Authorities suspect he may be linked to other unsolved murders or disappearances. Scott Erskine was sentenced to death in 2004 and is serving his sentence at San Quentin State Prison in San Quentin, California. "
158,Francisco Garcia Escalero,   Active for 8 years   (1987-1994) in Spain," Francisco Garcia Escalero a Spanish serial killer cannibal necrophiliac and rapist known as The Killer Beggar. Escalero killed eleven prostitutes and other homeless people between 1987 and 1994. He was a homeless man that was known to go to cemeteries to steal bodies to have sex with them. Escalero committed acts of necrophilia and cannibalism during his crimes. He was known to stab, decapitate, crush the skull and burn the remains of his victims. He cut off the penis of one victim and the fingers of another victim. In 1995, Francisco Garcia Escalero was declared insane and preventively detained at a psychiatric hospital. "
159,Ramon Escobar,   Active for 1 year   (2018) in United States," Ramon Escobar (Ramon Alberto Escobar) an El Salvador-native and suspected American serial killer known as the Homeless serial killer. Escobar is accused of a series of homeless beatings resulting in four deaths. Several of the attacks were carried out with a baseball bat and at least one with a set of bolt cutters. Escobar was arrested on September 24th 2018 in the Los Angeles suburb of Santa Monica after a man was beaten unconscious and robbed. On December 18th 2018, Escobar was charged with two additional murders after confessing to killing his own aunt and uncle, Dina Escobar and Rogelio Escobar. Ramon Escobar has been deported from the United States six times prior to his crime spree. "
160,Felipe Espinosa,   Active for 1 year   (1863) in United States," Felipe Espinosa (Felipe Nerio Espinosa) a Mexican-American serial killer who along with his bother and later nephew killed an estimated thirty-two people in the Colorado Territory. Espinosa is considered to be one of America's first serial killers and Mexico's first serial killer even though Francisco Guerrero Pérez was the first Mexican serial killer to be captured in Mexico. Espinosa declared war on the United States and wanted to kill as many Anglos as he could. He mutilated some victims corpses with the heart hacked out of the chest. Espinosa was shot by a posse lead by Tom Tobin a legendary tracker of the times. Tobin beheaded the Espinosas and his nephew, his brother was killed in a previous gunfight with the posse. "
161,Gary Charles Evans,   Active for 13 years   (1985-1997) in United States," Gary Charles Evans an American serial killer who became friends with fellow inmate and infamous serial killer Son of Sam, David Berkowitz, during his time in Sing Sing Prison. Evan's was released from Sing Sing in 1984, he proceeded to burglarize and kill while in and out of jails for over 13 years. Aided investigators in a high-profile murder case before dodging parole. During an attempted escape Evan's committed suicide by jumping off the center of the Troy-Menands Bridge in New York. "
162,Donald Leroy Evans,   Active for 7 years   (1985-1991) in United States," Donald Leroy Evans an American serial killer convicted for the kidnapping, raping, strangulation and murder of 10-year-old Beatrice Routh in 1993, and the strangulation death of Ira Jean Smith in 1985. Evans is suspected of another dozen murders but recanted confessions to over seventy more. Most of the murders and rapes took place at rest stops and public parks. During the trial Evan's requested a name change to ""Hi Hitler."" He didn't realize that Hitlers followers addressed their leader with the chant of ""Heil Hitler"". He escaped from Harrison County jail in 1993, Evans was recaptured about a mile away. In 1999, Donald Leroy Evans was stabbed to death by a fellow inmate at the Mississippi State Penitentiary. "
163,Richard Evonitz,   Active for 2 years   (1996-1997) in United States," Richard Evonitz (Richard Marc Edward Evonitz) an American serial killer kidnapper, and rapist responsible for the deaths of three girls in Spotsylvania County, Virginia between 1996 and 1997. An abducted 15-year-old girl escaped and was able to identify Evonitz as her attacker. Evonitz fled after finding the victim gone but police were able to locate him near the waterfront in Sarasota, Florida. Richard Evonitz shot himself while surrounded by police on June 27th 2002. A few days after Evonitz’s suicide the police found a lockbox at his residence that linked him to the three Virginia murders. "
164,Larry Eyler,   Active for 3 years   (1982-1984) in United States," Larry Eyler Known as ""The Interstate Killer""; sentenced to death for the 1984 murder and dismemberment of 15-year-old Daniel Bridges. He confessed to other homicides of young men and boys in five separate states. Died of AIDS complications in 1994. "
165,Christine Falling,   Active for 3 years   (1980-1982) in United States, Christine Falling (born Christine Laverne Slaughter) an American serial killer who was sentenced to life imprisonment in December 1982. 
166,Lorenzo Fayne,   Active for 5 years   (1989-1993) in United States," Lorenzo Fayne an American serial killer who was convicted in the serial murders of five children and one adult in Illinois from 1989 to 1993. Fayne would beat, stab and strangle his victims to death. He committed necrophilic acts on at least one of the victims body. In 2009, a routine search of a national DNA databank of convicted felons linked Fayne to an additional victim, a mother of three. Her head had been smashed in with chunks of concrete and her body was raped. A study from Radford University states he had an IQ of 68. In 1994, Lorenzo Fayne was sentenced to life in prison without parole at the Menard Correctional Center in Chester, Illinois. In 2003, Fayne's life, along with others on Illinois' death row, was saved when Governor George Ryan commuted remaining death sentences. "
167,Florencio Fernández,   Active for 11 years   (1950-1960) in Argentina," Florencio Fernández (Florencio Roque Fernández ) an Argentine serial killer who murdered around 15 women in his hometown of Monteros by biting out their jugular veins. Florencio claimed that drinking blood gave him orgasms. Florencio was arrested on February 14, 1960 declared insane and confined in a psychiatric institution, where he died of natural causes a few years later. "
168,Marie Fikackova,   Active for 4 years   (1957-1960) in Czech Republic," Marie Fikackova (born Marie Schmidl) (Marie Fikáčková) a Czech serial killer and neonatal nurse. Fikáčková conessed to killing at least ten newborns between 1957 and 1960. She was convicted of only two of the murders in 1960. In 1961, Marie Fikáčková was executed by hanging at Pankrác Prison in Prague. "
169,Pedro Rodrigues Filho,   Active for 37 years   (1967-2003) in Brazil," Pedro Rodrigues Filho a Brazilian serial killer who claimed to have killed over 100 victims, Filho born with an injured skull as a result of beatings his mother received from his father while he was still in her womb. He committed acts of cannibalism by murdering his father and eating a piece of his heart for retaliation of his father butchering his mother with a machete. Filho killed his first two victims at the age of 14 one being the vice-Mayor of Alfenas, Minas Gerais the other a guard. At the age of 18 Filho already had a body count of 10. Filho attempted to murder Francisco de Assis Pereira, a.k.a. The Park Maniac, on December 18, 2000. During incarceration Filho added 47 inmates to his list of kills, despite his actions in prison, after 34 years, he was released on April 24, 2007. Arrested again on September 15, 2011 on charges of rioting and false imprisonment. "
170,Albert Fish,   Active for 9 years   (1924-1932) in United States," Albert Fish (born Hamilton Howard Fish) an American serial killer and child rapist who was convicted and executed for the kidnapping, rape murder and cannibalization of three children in New York, suspected of the deaths of six more children and teenagers. Likely insane (though his insanity plea was denied to make possible his execution), Fish boasted that he ""had children in every state"" and at one point claimed 100 victims. Fish would drink the blood of his victims. Detective William King believed Fish was a suspect in the Brooklyn vampire case but Fish denied any involvement. "
171,Kathleen Folbigg,   Active for 11 years   (1989-1999) in Australia," Kathleen Folbigg (born Kathleen Megan Donovan) an Australian serial child killer. Folbigg was convicted of murdering her three infant children and the manslaughter of a fourth child. Sentenced to thirty years imprisonment with a non-parole period of twenty-five years. On August 22nd 2018, New South Wales Attorney-General Mark Speakman announced there would be an inquiry into the convictions. She will remain in custody during the course of the inquiry. "
172,Delano Forbes,   Active for 4 years   (2015-2018) in Antigua," Delano Forbes a suspected Antiguan serial killer known as the Antigua vampire Killer. Forbes is supected of killing four men between 2015 and 2018. Police found jars of what appeared to be blood at Forbes’ home when they were investigating the case in 2018. Forbes is accused of killing Wilfred ‘Bongo’ Williams, Shawn Henry, Lisue Williams, and Morison 'Chung' Thomas. He was arrested in December 2018. In Febuary 2018, Forbes escaped custody when police were escorting him to one of his previous crime scenes. He killed his fourth victim after the escape and was recatured on March 9th 2018. "
173,Wayne Adam Ford,   Active for 2 years   (1997-1998) in United States," Wayne Adam Ford an American serial killer who killed three young prostitutes, and one other female victim in California between 1997 and 1998. Ford was arrested when he walked into the Humboldt County Sheriff Department in Eureka, California in 1998 with a woman's severed breast. He confessed to murdering four women and is believed to have killed others. In 2006, Wayne Adam Ford was convicted on four counts of first-degree murder, and was sentenced to death in 2006. "
174,Michel Fourniret,   Active for 15 years   (1987-2001) in France," Michel Fourniret (Michel Paul Fourniret) a French serial killer known as the Ogre and the Beast of Ardennes. Fourniret confessed to killing eleven people in France and Belgium between 1987 and 2001. Fourniret was arrested after a failed kidnapping in 2003. In February 2018, Fourniret confessed to the murders of two more victims. His wife, Monique Pierrette Olivier, was convicted of murder and complicity, she was sentenced to life with a minimum term of forty-eight years in prison. In 2008, Michel Fourniret was sentenced to life imprisonment with a second term in 2018. "
175,Bobby Jack Fowler,"   Active for 24 years   (1973-1996) in United States, Canada"," Bobby Jack Fowler an American rapist and alleged serial killer known as Project E-Pana, the Highway of Tears. Fowler is a suspect in at least sixteen murders in Canada and the United States dating as far back as 1969. He was a potential suspect in Project E-Pana, the Highway of Tears cases in British Columbia, geographic profiler Kim Rossmo pointed out that many of these murders occurred after Fowler's imprisonment in 1996. Fowler's DNA was found on the body of at least one of his victims. In 2006, Bobby Jack Fowler died from lung cancer while still in custody at Oregon State Penitentiary. "
176,Kendall Francois,   Active for 3 years   (1996-1998) in United States," Kendall Francois an American serial killer known as the Poughkeepsie Killer. Francois confessed to killing eight prostitutes in Poughkeepsie, New York, but denied involvement with the disappearance of a ninth prostitute. In 1995, Francois tested positive for HIV. He hid the bodies of his victims in the house that he shared with his parents. In 2000, he was sentenced to life in prison without the possibility of parole. Kendall Francois died of natural causes on September 11th 2014 while incarcerated at Wende Correctional Facility in Alden, New York. "
177,Lonnie David Franklin,   Active for 23 years   (1985-2007) in United States," Lonnie David Franklin (Lonnie David Franklin, Jr.) an American serial killer known as the Grim Sleeper. During his crime spree Franklin took an alleged 14-year hiatus from murdering between 1988 and 2002. Franklin shot and strangled his victims, mostly women, around South Los Angeles. Franklin committed at least one of the Southside Slayer murders, and Michael Hughes, Chester Turner, Daniel Lee Siebert, Louis Craine, and Ivan Hill committed at least one each. Lonnie David Franklin was convicted in 2016 and sentenced to death. In 2020, Lonnie David Franklin was found dead in his prison cell at the San Quentin State Prison in San Quentin, California. The cause of death is pending the results of an autopsy however, but there were no signs of trauma. "
178,Joseph Paul Franklin,   Active for 4 years   (1977-1980) in United States," Joseph Paul Franklin (born James Clayton Vaughn Jr.) an American white supremacist serial killer who confessed to 20 murders and several attempted murders. Franklin received six life sentences, as well as the death sentence. He was executed by lethal injection on November 20th 2013. "
179,Leonard Fraser,   Active for 2 years   (1998-1999) in Australia, Leonard Fraser (Leonard John Fraser) an Australian serial killer rapist and pedophile known as The Rockhampton rapist and The Bad Seed. Fraser murdered four women in Rockhampton between 1998 and 1999. He was sentenced to five consecutive life sentences plus twenty-five years without the possibility of parole. Leonard Fraser died in prison of a heart attack in 2007. 
180,Sataro Fukiage,   Active for 19 years   (1906-1924) in Japan," Sataro Fukiage a Japanese rapist and serial killer known as Shinshumaro. In 1906, Fukiage raped and murdered an 11-year-old girl. In 1923, Fukiage was arrested for molesting a four-year-old girl, but was later released. He raped and murdered six young girls, aged 11 to 16, between 1923 and 1924. He was arrested on July 28th 1924 and was sentenced to death by hanging in 1925. Fukiage wrote a book titled Shaba (The Street). The Supreme Court of Japan upheld his death sentence in 1926. Sataro Fukiage was executed by hanging on September 28th 1926. "
181,William Patrick Fyfe,   Active for 21 years   (1979-1999) in Canada," William Patrick Fyfe a Canadian serial killer and rapist known as The Killer Handyman. Fyfe was convicted of killing five women in the Montreal area of Quebec. He was sentenced to life in prison in 2001. Fyfe made confession to four additional murders in exchange for obtaining a transfer from a Quebec prison to a prison in Western Canada. Authorities say Fyfe will not be tried for the four new murders, because he is already serving a life sentence, the maximum under the law. William Patrick Fyfe is currently serving his sentence at the Saskatoon prison in Western Canada. "
182,John Wayne Gacy,   Active for 7 years   (1972-1978) in United States," John Wayne Gacy (John Wayne Gacy Jr.) an American serial killer and rapist known as Pogo the Clown. Gacy was known to have sexually assaulted, tortured and murdered a minimum of thirty-three teenage boys and young men between 1972 and 1978, twenty-six of whom he buried in the crawl space of his Chicago home. He was known as the Killer Clown due to him entertaining children at social events dressed in a self devised clown costume. While in prison, Gacy took up painting as a hobby and means of making money, the paintbox used to create the art is on display at Alcatraz East Crime Museum in Pigeon Forge, Tennessee. John Wayne Gacy was executed by lethal injection In 1994. "
183,Irina Gaidamachuk,   Active for 9 years   (2002-2010) in Russia," Irina Gaidamachuk (Irina Viktorovna Gaidamachuk) a Russian serial killer who killed 17 elderly women in Sverdlovsk Oblast between 2002 and 2010. Gaidamachuk was known as ""Satan in a skirt"". She posed social worker to gain entry homes of the women, where she would kill them with an axe or hammer, then rob the victim for whatever money she could find. Sentenced to 20 years in prison. "
184,Gerald Gallego,   Active for 3 years   (1978-1980) in United States," Gerald Gallego (Gerald Armond Gallego) an American serial killer along with his wife Charlene Gallego, were known as The Love Slave Killers and The Gallego Sex Slave Killers. Together they murdered ten victims in Sacramento, California between 1978 and 1980. Some of their victims were kept as sex slaves for the couple before they were murdered. They were known to beat, rape strangle and shoot their victims. They were arrested in 1980 when a witness reported the couples license plate number to authorities. Gerald Gallego was sentenced to death in 1984. In 2002, Gerald Gallego died of cancer in the prison medical center at Ely State Prison in Ely, Nevada while awaiting his execution. "
185,Charlene Gallego,   Active for 3 years   (1978-1980) in United States," Charlene Gallego (Charlene Adell Gallego) (born Charlene Adell Williams) an American serial killer along with her husband Gerald Gallego, were known as The Love Slave Killers and The Gallego Sex Slave Killers. Together they murdered ten victims in Sacramento, California between 1978 and 1980. Some of their victims were kept as sex slaves for the couple before they were murdered. They were known to beat, rape strangle and shoot their victims. They were arrested in 1980 when a witness reported the couples license plate number to authorities. Charlene testified against her husband for a plea deal that reduced her prison sentence to sixteen years and eight months. In 1997, Charlene Gallego completed her sentence and was released. "
186,Luis Garavito,   Active for 8 years   (1992-1999) in Colombia," Luis Garavito (Luis Alfredo Garavito Cubillos) a Colombian serial killer child-murderer, torture-killer, and rapist known as La Bestia (The Beast). Garavito targeted boys between the ages of 6 to 16. Confessed to killing 147 children over a five-year period in Colombia. He is suspected of murdering over 300 victims, mostly street children. Luis Garavito was sentenced to 1853 years and 9 days in jail. "
187,Juan Díaz de Garayo,   Active for 10 years   (1870-1879) in Spain," Juan Díaz de Garayo a Spanish serial killer known as El Sacamantecas (The fat extractor). Garayo strangled six victims and attacked four others between 1870 and 1879. Garayo first killed prostitutes after hiring and sleeping with them consensually, but grew more violent, attacking, raping and murdering his victims. Juan Díaz de Garayo was executed in 1881 by garroted at the Polvorín Viejo prison in Vitoria, Álava, Spain. "
188,Michael Gargiulo,   Active for 16 years   (1993-2008) in United States," Michael Gargiulo (Michael Thomas Gargiulo) an alleged American serial killer known as the Chiller Killer and the Hollywood Ripper. Gargiulo alleged killing sprees spanned from 1993–2000 in Chicago and 2001–2008 in Santa Monica, CA and Los Angeles, CA area. Michael Gargiulo was made notable for allegedly killing Ashton Kutcher's former girlfriend Ashley Ellerin in 2001. Gargiulo is accused of stabbing three women to death and attempting to murder a fourth. Gargiulo was a neighbor of each victim at the time of the attacks. DNA found at the potential fourth victims house was a match to Gargiulo. He was arrested in 2008. Michael Gargiulo's trial began on May 2, 2019. "
189,Carlton Gary,   Active for 4 years   (1975-1978) in United States," Carlton Gary (Carlton Michael Gary) an American serial killer known as The Stocking Strangler and the Steakhouse Bandit. Gary would beat, sexually assault and strangle elderly victims, mostly using stockings. An eighth elderly women was beat and sexually assaulted but survived the attack. Gary was convicted of the murders of seven elderly women in Georgia and sentenced to death on August 27th 1986. On March 15th 2018, Carlton Gary was executed by lethal injection at Georgia Diagnostic and Classification State Prison in Jackson, Georgia. "
190,Donald Henry Gaskins,   Active for 30 years   (1953-1982) in United States," Donald Henry Gaskins Known as PeeWee and The Meanest Man in America, Gaskins was convicted of nine murders committed in South Carolina between 1973 and 1975. He was suspected of 31 murders. Two victims having been murdered during Gaskins incarceration; one while on death row. On death row Gaskin claimed that he had murdered between 80 and 110 victims. Executed in September, 1991. "
191,Guy Georges,   Active for 7 years   (1991-1997) in France," Guy Georges (born Guy Rampillon) a French serial killer and rapist known as the Beast of the Bastille and the killer of eastern Paris. Georges assaulted, stabbed, tortured raped and killed seven women in the neighborhood of the Bastille between 1991 and 1997. His mother abandoned him to state custody at the age of six, he was adopted by a family and grew up in a family of twelve adopted children. Georges’ DNA matched evidence found at all four crime scenes, as well as at one attempted rape. In 1998, Georges was arrested and confessed to seven murders. In 2001, Guy Georges was sentenced to life imprisonment without the possibility of parole for twenty-two years. "
192,Hubert Geralds,   Active for 2 years   (1994-1995) in United States," Hubert Geralds (Hubert Geralds Jr.) an American serial killer known as the Englewood Strangler. Geralds was charged with the murders of six prostitutes and drug addicts in Chicago's South Side. He was convicted of five murders and an attempted murder. The sixth victim Geralds was charged with turned out to be one of the victims of another Chicago serial killer named Andre Crawford. A study from Radford University states he had an IQ of 73. Hubert Geralds was sentenced to death in 1997. In 2000, Geralds had one of his murder convictions overturned when fellow serial killer Andre Crawford confessed to the murder. In 2003, Hubert Geralds' death sentence was commuted to life in prison without the possibility of parole. "
193,Janie Lou Gibbs,   Active for 2 years   (1966-1967) in United States," Janie Lou Gibbs an American serial killer known as The Georgian Black Widow and the Black Georgia Peach. Gibbs killed five of her family members. Gibbs killed her three sons, a grandson and her husband, by poisoning them with arsenic between 1966 and 1967 in Cordele, Georgia. She was sentenced to five life terms in prison. She was released from prison in 1999 due to being diagnosed with Parkinson's disease. Janie Lou Gibbs died a nursing home in Douglasville, Georgia on February 7th 2010. "
194,William Clyde Gibson,   Active for 11 years   (2002-2012) in United States," William Clyde Gibson (William Clyde Gibson III) an American serial killer and rapist. Gibson was convicted of three murders in New Albany from 2002 to 2012. Gibson was known to rape strangle and stab his victims before mutilating their bodies and burying them in his back yard in New Albany, Indiana. Police found the third body while excavating Gibson's back yard, the victim was identified as a woman who had disappeared in 2012. William Clyde Gibson was sentenced to death in 2013, an additional sixty-five years in 2014 and a second death sentence on August 15th 2014. At sentencing, Gibson responded ""I deserve what I’m getting. It ain’t no big deal."" "
195,Bertha Gifford,   Active for 20 years   (1909-1928) in United States," Bertha Gifford (born Bertha Alice Williams) an American serial killer Found not guilty by reason on insanity of three arsenic poisonings by insanity and suspected of 14 other killings, mostly children, in rural Catawissa, Missouri during the early 1900s. Gifford nursed her sick neighbors, and a total of 17 people died in her care. Gifford is one of America's earliest female serial killer behind Lydia Sherman and Jane Toppan.On November 21st 1928, following the three-day trial, Bertha Gifford was found not guilty by reason of insanity and committed to a psychiatric hospital. "
196,Kristen Gilbert,   Active for 8 years   (1988-1995) in United States," Kristen Gilbert (Kristen Heather Gilbert) (born Kristen Heather Strickland) a former nurse and an American serial killer who was convicted of four murders and two attempted murders of patients admitted to the Veterans Affairs Medical Center (VAMC) in Northampton, Massachusetts. On March 14, 2001, a federal jury convicted Gilbert on three counts of first-degree murder, one count of second-degree murder and two counts of attempted murder. "
197,Bernard Giles,   Active for 1 year   (1973) in United States," Bernard Giles (Bernard Eugene Giles) an American serial killer. Giles raped strangled and shot to death five young women victims over the span of twelve weeks between September and November 1973. He confessed to killing five Titusville-area women, whose partially decomposed bodies were found in orange groves near Titusville. He was arrested after two young girls escaped after being kidnapped and told authorities his identity. Giles was declared a mentally disturbed sex offender and confined to a state hospital for treatment. Bernard Giles was sentenced to life in prison in 1977. In 2019, Giles was interviewed by Piers Morgan as part of a documentary series on ITV called Confessions Of A Serial Killer With Piers Morgan. "
198,Sean Vincent Gillis,   Active for 10 years   (1994-2003) in United States," Sean Vincent Gillis an American serial killer known as The Other Baton Rouge Killer. The Other Baton Rouge Killer nickname is used because Derrick Todd Lee is known as the Baton Rouge Serial Killer. Gillis kidnapped, raped and mutilated the corpses of women between 1994 and 2003. The three victims to which Gillis has been linked by DNA, were all beaten, strangled mutilated and found in remote areas of the Parish. Gillis confessed to committing other unsolved local murders. After his arrest, police found digital pictures on his computer one of a victims mutilated body, as well as photos of a corpse in the trunk of his car. In 2008, Sean Vincent Gillis was convicted and sentenced to life imprisonment. "
199,Lorenzo Gilyard,   Active for 17 years   (1977-1993) in United States," Lorenzo Gilyard (Lorenzo Jerome Gilyard, Jr.) an American serial killer known as The Kansas City Strangler. Gilyard is alleged to have raped and murdered thirteen women and girls from 1977 to 1993. Most, if not all, of Gilyard's victims were sex workers. Gilyard was known to abuse women as early as his teens. In 2007, Lorenzo Gilyard was convicted on six counts of murder and sentenced to life imprisonment. He is serving his life sentence in Crossroads Correctional Center in Cameron, Missouri. "
200,Walter De Giusti,   Active for 1 year   (1986) in Argentina," Walter De Giusti (Walter Alfredo De Giusti) an Argentine serial killer who was known for killing musician Fito Páez's grandmothers, as well as three other women. On August 24, 1987, Judge Ávalos sentenced him to life imprisonment in the Coronda prison in Santa Fe. De Giusti died due to HIV/AIDS complications on Friday, June 12, 1998. "
201,Harvey Glatman,   Active for 2 years   (1957-1958) in United States," Harvey Glatman (Harvey Murray Glatman) an American serial killer and rapist who was known as The Lonely Hearts Killer and the Glamour Girl Slayer. He posed as a professional photographer to lure his victims with the promise of a modeling career. Glatman convinced women to pose for bondage photographs instead he would tie them up and sexually assault them. In 1958, a patrolman saw him struggling with a woman on the side of the road and arrested him. Harvey Glatman was executed in the gas chamber of San Quentin State Prison in San Quentin, California on September 18th 1959. "
202,Billy Glaze,   Active for 2 years   (1986-1987) in United States," Billy Glaze (Billy Richard Glaze) an American serial killer known as Butcher Knife Billy and Jesse Sitting Crow. Glaze was convicted of raping and murdering three Native American prostitutes in Minneapolis in 1986 and 1987. In 1987, Glaze was arrested for drunk driving and a violation of parole in a 1974 Texas rape conviction. Authorities found evidence in his vehicle including a bloody shirt and hair samples which were used at his trial. Later DNA testing failed to match Glaze to the crimes, instead it implicated another suspect. In 2014, Glaze filed a motion for a new trial based on the DNA findings. In 2015, Glaze died from lung cancer after spending more than twenty-five years in prison. "
203,John Wayne Glover,   Active for 2 years   (1989-1990) in Australia," John Wayne Glover an English-Australian serial killer known as The Granny Killer. Glover was a British expatriate living in Australia who targeted elderly women between 1989 and 1990. He was convicted for the murders of six women. John Wayne Glover committed suicide while in prison in 2005. Before Glover committed suicide, he gave an outside visitor a sketch of a park that showed two pine trees with the number nine in the middle. The number nine is said to either represent the total number of murders or the number of unsolved murders committed by Glover. "
204,Sean Patrick Goble,   Active for 1 year   (1995) in United States," Sean Patrick Goble an American serial killer and rapist known as the Baileyton Truck Stop Murderer and The Wild One. Goble was a long-distance trucker living in Asheboro, North Carolina. He was convicted in 1995 in Greene County Criminal Court of two counts of first-degree murder and sentenced to two consecutive life sentences. Goble confessed to the January 1995 murder of Brenda Kay Hagy, 45, at a Baileyton truck stop and then disposing of her body in Virginia. Goble also confessed to killing 36-year-old Rebecca Alice Hanes in March 1995 in Jefferson County and dumping her body off Interstate 81 in the Kingsport area. Goble confessed to the murder of 34-year-old Sherry Mansur. Her body was found in February 1995 along Interstate 40 in Guilford County. "
205,Cayetano Santos Godino,   Active for 1 year   (1912) in Argentina," Cayetano Santos Godino Known as Petiso Orejudo (""the Big-eared Midget""). Teenage arsonist, animal killer and child murderer with congenital syphilis. At the age of 10 Godino was aressted after his mother called the police over Godino's compulsive masturbation resulting in a two-month jail term. Arrested at age 16 in 1912 for killing four children, one victim had a nail hammered it into the side of the skull. During the same time he also tried to kill seven more. Interned in 1913 in a reformatory, where he tried to kill other immates, and from 1915 in prison. Died in jail in 1944 when he was found dead in his cell. The offical cause was internal bleeding caused possibly tied to a gastrities outbreak. Godino was among the first Argentinian serial killers the first was Cayetano Grossi. "
206,Billy Gohl,   Active for 9 years   (1902-1910) in United States, Billy Gohl an American serial killer who was a suspect in dozens of murders until his capture in 1910. Gohl sentenced to life in prison at Walla Walla State Penitentiary where he died in 1927. 
207,Sergey Golovkin,   Active for 7 years   (1986-1992) in Russia," Sergey Golovkin a Soviet-Russian serial killer known as The Fisher and The Boa. Golovkin tortured raped and killed at least eleven young boys in the Moscow area between 1986 and 1992. Golovkin would rape and sodomize the boys while cutting their genitals, torso and throats. He was sentenced to death and was the last person executed in Russia before the death penalty was abolished in 1996. On August 2nd 1996, Sergey Golovkin was executed by a single gunshot to the back of the head in Moscow, Russia. "
208,David Alan Gore,   Active for 3 years   (1981-1983) in United States," David Alan Gore an American serial killer who confessed to, and was convicted of, six murders in Vero Beach and Indian River County, Florida in the 1980s. Gore had an accomplice, his cousin Fred Waterfield, and the pair were dubbed the Killing Cousins. David Alan Gore was executed by lethal injection at 6:19 p.m. on Thursday, April 12, 2012, having exhausted all legal appeals. "
209,Mark Goudeau,   Active for 2 years   (2005-2006) in United States," Mark Goudeau an American serial killer and rapist known as The Baseline Killer and The Baseline rapist . Goudeau would kidnap, rape rob and murder victims in Phoenix, Arizona between 2005 and 2006. He murdered nine victims, eight female and one male. He would wear disguises such as a Halloween mask or dress as a homeless man. Ballistics and DNA evidence was used to convict Goudeau. Some of his victims were thought to have been originally committed by the Serial Shooters, Dale Hausner and Samuel Dieteman. In 2007, Goudeau was convicted of the nine murders. He has several other felony convictions including fifteen rapes and eleven kidnappings. In 2011, Mark Goudeau was sentenced to death and is currently being held on death row. "
210,Kwauhuru Govan,   Active for 14 years   (2004-2017) in United States," Kwauhuru Govan (Kwauhuru John Govan) a suspected American serial killer who has been arrested for two murders and two murders still under investigation. Govan's DNA was matched with evidence beneath the nails of one of his victims. Govan was arrested at Northwest Florida Reception Center in Chipley, as he was being released from prison in 2016. Govan's previous arrests in Brooklyn include robbery, assault, burglary and weapons possession from 1996 to 2010. Authorities later found a journal in his possession that contained a sketch of a chair designed to restrain women during sexual encounters. Govan called the chair a “sex pod” in his journal entries. Govan is still awaiting trial for the 2005 murder and dismemberment of 19-year-old relative Rashawn Brazell. "
211,Harrison Graham,   Active for 1 year   (1987) in United States, Harrison Graham Convicted of killing seven women in Philadelphia and keeping their bodies in his apartment. 
212,Gwendolyn Graham,   Active for 1 year   (1987) in United States," Gwendolyn Graham (Gwendolyn Gail Graham) an American serial killer who along with her partner Cathy Wood, known as the Alpine Manor serial killers were convicted of killing five elderly women in Walker, Michigan, a suburb of Grand Rapids, in the 1980s. Graham and Wood turned the selection of victims into a game, choosing victims whose initials collectively spelled M-U-R-D-E-R. They committed their crimes in the Alpine Manor nursing home, where they both worked as nurse's aides. "
213,Shawn Grate,   Active for 12 years   (2005-2016) in United States," Shawn Grate (Shawn Michael Grate) an American serial killer rapist and kidnapper. Grate was convicted on two counts of aggravated murder in 2018. He was arrested after a victim who was kidnapped and raped multiple times escaped and called 911. Grate wrote two letters to a news station in Cleveland, Ohio confessing to the murders of all five victims. He was indicted on twenty-three charges including the two counts of murder. In 2018, Grate was found guilty of fifteen charges and sentenced to death. In 2019, Grate pleaded guilty to two additional murders in Richland County. The City of Ashland is pursuing a federal grant with the intention of demolishing the house Grate committed his crimes in. "
214,Dana Sue Gray,   Active for 1 year   (1994) in United States," Dana Sue Gray (born Dana Sue Armbrust) an American female serial killer and former nurse. Gray was convicted of murder of three elderly women and attempted murder of a fourth in California between February and March 1994. Gray says she committed the murders to support her spending habits. In1998, Dana Sue Gray was sentenced to life without parole. She is incarcerated at the California Women's Prison in Chowchilla. "
